2023-07-24 08:02:53 Debug: Notice (8): Undefined variable: session in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\userinfos_controller.php, line 12]
2023-07-24 08:06:30 Debug: Notice (8): Undefined variable: session in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\userinfos_controller.php, line 12]
2023-07-24 08:06:58 Debug: Notice (8): Undefined variable: Session in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\userinfos_controller.php, line 12]
2023-07-24 08:29:04 Debug: Notice (8): Array to string conversion in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:29:04 Debug: Notice (8): Array to string conversion in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:31:40 Debug: Notice (8): Undefined property: PostsController::$Userinfo in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 52]
2023-07-24 08:31:46 Debug: Notice (8): Undefined property: PostsController::$Userinfo in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 52]
2023-07-24 08:31:48 Debug: Notice (8): Undefined property: PostsController::$Userinfo in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 52]
2023-07-24 08:32:00 Debug: Notice (8): Undefined property: PostsController::$Userinfo in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 52]
2023-07-24 08:32:02 Debug: Notice (8): Undefined property: PostsController::$Userinfo in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 52]
2023-07-24 08:32:03 Debug: Notice (8): Undefined property: PostsController::$Userinfo in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 52]
2023-07-24 08:32:04 Debug: Notice (8): Undefined property: PostsController::$Userinfo in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 52]
2023-07-24 08:32:05 Debug: Notice (8): Undefined property: PostsController::$Userinfo in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 52]
2023-07-24 08:32:06 Debug: Notice (8): Undefined property: PostsController::$Userinfo in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 52]
2023-07-24 08:33:53 Debug: Notice (8): Undefined property: PostsController::$Userinfo in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 52]
2023-07-24 08:39:18 Debug: Notice (8): Undefined variable: asd in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 3]
2023-07-24 08:39:18 Debug: Notice (8): Undefined variable: asd in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 3]
2023-07-24 08:44:24 Debug: Notice (8): Undefined property: View::$Userinfo in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\layouts\default.ctp, line 44]
2023-07-24 08:45:02 Debug: Notice (8): Undefined variable: asd in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 3]
2023-07-24 08:45:02 Debug: Notice (8): Undefined variable: asd in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 3]
2023-07-24 08:50:50 Debug: Notice (8): Use of undefined constant id - assumed 'id' in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:50:50 Debug: Notice (8): Use of undefined constant id - assumed 'id' in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:50:50 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:51:19 Debug: Notice (8): Array to string conversion in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:51:20 Debug: Notice (8): Array to string conversion in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:51:28 Debug: Notice (8): Undefined offset: 1 in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:51:28 Debug: Notice (8): Undefined offset: 1 in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:51:35 Debug: Notice (8): Use of undefined constant id - assumed 'id' in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:51:35 Debug: Notice (8): Array to string conversion in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:51:35 Debug: Notice (8): Use of undefined constant id - assumed 'id' in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:51:35 Debug: Notice (8): Array to string conversion in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:51:38 Debug: Notice (8): Use of undefined constant id - assumed 'id' in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:51:38 Debug: Notice (8): Array to string conversion in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:51:39 Debug: Notice (8): Use of undefined constant id - assumed 'id' in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:51:39 Debug: Notice (8): Array to string conversion in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:52:02 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:52:23 Debug: Notice (8): Undefined index: first_name in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 3]
2023-07-24 08:52:23 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:52:23 Debug: Notice (8): Undefined index: first_name in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 3]
2023-07-24 08:52:41 Debug: Notice (8): Array to string conversion in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 3]
2023-07-24 08:52:41 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:52:41 Debug: Notice (8): Array to string conversion in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 3]
2023-07-24 08:53:02 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
2023-07-24 08:53:36 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\controllers\app_controller.php, line 57]
2023-07-24 08:53:36 Debug: Notice (8): Undefined index: id in [D:\Programs\xampp_5.6\htdocs\fulgencio-cake-app\app\views\elements\nav-bar.ctp, line 2]
